Polling Booth Number,Polling Booth Name,Winner- 2019,Margin %,Margin,Total Voters,BJP- Votes,BJP- % votes,INC- Votes,INC- % Votes,Adv. Chandrashekar Dongre,Topale Rupachand,Rahul Parasanji Tayde,Sanjay Ambadas Wankhede,Avinash Suresh Badhiye,Deepak M. Madavi,Dilip Shamraoji Potfode,Vilas Vinayakrao Kailuke,NOTA,No of Votes got by 3rd parties,BJP booth strength,INC booth strength
1,Wadala,INC,4.819277108,24,498,225,45.18072289,249,50,6,4,0,2,0,5,1,0,6,18,WEAK,MODERATE
2,Vardhapur,BJP,7.294117647,31,425,221,52,190,44.70588235,4,4,0,0,0,4,0,0,2,12,MODERATE,WEAK
3,Sattarapur,INC,9.219858156,26,282,122,43.26241135,148,52.4822695,2,4,0,0,1,3,1,0,1,11,WEAK,MODERATE
4,Pilapur,BJP,7.333333333,33,450,236,52.44444444,203,45.11111111,1,4,1,1,0,2,1,0,1,10,MODERATE,WEAK
5,Belora (bu ),BJP,5.779569892,43,744,357,47.98387097,314,42.20430108,6,58,0,0,1,2,0,1,5,68,WEAK,WEAK
6,Khambit,BJP,12.30031949,77,626,334,53.35463259,257,41.0543131,5,16,0,0,1,5,1,0,7,28,MODERATE,WEAK
7,"zilha parishad primary school, Borgaon (Tu)",INC,15.02782931,81,539,212,39.33209647,293,54.35992579,6,1,1,0,1,11,7,0,7,27,WEAK,MODERATE
8,Borgaon (tu.),INC,8.864696734,57,643,287,44.63452566,344,53.4992224,4,6,0,0,0,0,0,1,1,11,WEAK,MODERATE
9,Drugavada,BJP,13.98514851,113,808,435,53.83663366,322,39.85148515,25,17,1,0,0,3,0,0,5,46,MODERATE,WEAK
10,Tarasanvaga Booth J. P. Uchch Prathamik Shala,BJP,11.4,57,500,271,54.2,214,42.8,6,0,1,0,0,2,3,0,3,12,MODERATE,WEAK
11,Tarasanvaga Booth J. P. Uchch Prathamik Shala old Building,BJP,16.55629139,75,453,239,52.7593819,164,36.20309051,28,5,0,0,0,2,14,0,1,49,MODERATE,WEAK
12,Sahur Booth J P Prathamik Shala Sahur Uttarekadil Bhag,BJP,14.41677588,110,763,396,51.90039318,286,37.4836173,19,11,0,0,0,43,2,0,6,75,MODERATE,WEAK
13,Sahur Booth J P Prathamik Shala Sahur Kha Kr. 2 Dakshinekadil,BJP,42.49084249,116,273,189,69.23076923,73,26.73992674,5,1,0,0,0,3,0,0,2,9,MODERATE,WEAK
